godina,mjesec,broj_ticketa
2007,4,25
2007,5,43
2007,6,28
2007,7,54
2007,8,43
2007,9,35
2007,10,39
2007,11,49
2007,12,47
2008,1,36
2008,2,47
2008,3,104
2008,4,112
2008,5,61
2008,6,91
2008,7,101
2008,8,65
2008,9,57
2008,10,78
2008,11,74
2008,12,57
2009,1,79
2009,2,85
2009,3,108
2009,4,93
2009,5,113
2009,6,201
2009,7,139
2009,8,204
2009,9,155
2009,10,141
2009,11,168
2009,12,259
2010,1,211
2010,2,194
2010,3,219
2010,4,193
2010,5,209
2010,6,238
2010,7,200
2010,8,188
2010,9,166
2010,10,285
2010,11,193
2010,12,181
2011,1,244
2011,2,124
2011,3,184
2011,4,352
2011,5,297
2011,6,171
2011,7,186
2011,8,134
2011,9,167
2011,10,182
2011,11,153
2011,12,174
2012,1,169
2012,2,208
2012,3,249
2012,4,228
2012,5,276
2012,6,181
2012,7,249
2012,8,148
2012,9,214
2012,10,194
2012,11,168
2012,12,163
2013,1,145
2013,2,166
2013,3,158
2013,4,188
2013,5,156
2013,6,155
2013,7,140
2013,8,113
2013,9,202
2013,10,142
2013,11,150
2013,12,230
2014,1,174
2014,2,181
2014,3,232
2014,4,203
2014,5,194
2014,6,187
2014,7,138
2014,8,200
2014,9,207
2014,10,162
2014,11,197
2014,12,187
2015,1,145
2015,2,182
2015,3,185
2015,4,200
2015,5,216
2015,6,285
2015,7,276
2015,8,598
2015,9,523
2015,10,544
2015,11,609
2015,12,591
2016,1,705
2016,2,574
2016,3,654
2016,4,462
2016,5,415
2016,6,322
2016,7,288
2016,8,301
2016,9,289
2016,10,790
2016,11,462
2016,12,427
2017,1,430
2017,2,378
2017,3,400
2017,4,409
2017,5,398
2017,6,263
2017,7,342
2017,8,312
2017,9,256
2017,10,384
2017,11,421
2017,12,415
2018,1,446
2018,2,413
2018,3,462
2018,4,417
2018,5,352
2018,6,287
2018,7,420
2018,8,306
2018,9,295
2018,10,424
2018,11,448
2018,12,368
2019,1,465
2019,2,407
2019,3,400
2019,4,347
2019,5,282
2019,6,267
2019,7,392
2019,8,246
2019,9,350
2019,10,328
2019,11,313
2019,12,292
2020,1,285
2020,2,248
2020,3,361
2020,4,335
2020,5,259
2020,6,395
2020,7,420
2020,8,342
2020,9,466
2020,10,441
2020,11,423
2020,12,427
2021,1,444
2021,2,470
2021,3,416
2021,4,306
2021,5,323
2021,6,404
2021,7,301
2021,8,389
2021,9,407
2021,10,330
2021,11,366
2021,12,508
2022,1,450
2022,2,422
2022,3,417
2022,4,369
2022,5,353
2022,6,455
2022,7,370
2022,8,450
2022,9,453
2022,10,487
2022,11,499
2022,12,506
2023,1,596
2023,2,521
2023,3,271
