projekt,status,broj_ticketa
"Project Apollo",closed,6407
"Project Apollo",done,83
"Project Apollo",waiting,17
"Project Apollo",resolved,13
"Project Apollo",in_progress,12
"Project Apollo",pending_deployment,10
"Project Apollo",open,5
"Project Apollo",validation,3
"Project Apollo",to_do,2
"Project Apollo",resolved_under_monitoring,2
"Project Atlas",closed,1757
"Project Atlas",done,638
"Project Atlas",validation,4
"Project Atlas",waiting,3
"Project Atlas",resolved,3
"Project Atlas",open,1
"Project Atlas",resolved_under_monitoring,1
"Project Atlas",under_review,1
"Project Aurora",closed,1982
"Project Aurora",done,818
"Project Aurora",waiting,6
"Project Aurora",resolved_under_monitoring,3
"Project Aurora",validation,3
"Project Aurora",resolved,1
"Project Eclipse",closed,2253
"Project Eclipse",done,841
"Project Eclipse",waiting,15
"Project Eclipse",in_progress,4
"Project Eclipse",resolved,3
"Project Eclipse",validation,1
"Project Helios",closed,2680
"Project Helios",done,749
"Project Helios",waiting,13
"Project Helios",in_progress,5
"Project Helios",validation,1
"Project Horizon",closed,1913
"Project Horizon",done,31
"Project Horizon",waiting,9
"Project Horizon",resolved,2
"Project Horizon",open,2
"Project Horizon",in_progress,1
"Project Horizon",resolved_under_monitoring,1
"Project Nexus",closed,1285
"Project Nexus",done,61
"Project Nexus",validation,51
"Project Nexus",waiting,22
"Project Nexus",open,14
"Project Nexus",in_progress,2
"Project Nexus",in_review,2
"Project Nexus",resolved_under_monitoring,2
"Project Nova",closed,4839
"Project Nova",done,809
"Project Nova",waiting,17
"Project Nova",pending_deployment,3
"Project Nova",in_progress,3
"Project Nova",resolved,3
"Project Nova",validation,1
"Project Nova",open,1
"Project Orion",closed,3944
"Project Orion",waiting,19
"Project Orion",in_progress,4
"Project Orion",resolved,3
"Project Orion",resolved_under_monitoring,2
"Project Orion",validation,2
"Project Orion",pending_deployment,1
"Project Orion",cancelled,1
"Project Phoenix",closed,4702
"Project Phoenix",done,700
"Project Phoenix",waiting,22
"Project Phoenix",validation,5
"Project Phoenix",in_progress,5
"Project Phoenix",pending_deployment,4
"Project Phoenix",open,4
"Project Phoenix",resolved,1
"Project Quantum",closed,2942
"Project Quantum",done,830
"Project Quantum",pending_deployment,8
"Project Quantum",waiting,8
"Project Quantum",resolved,5
"Project Quantum",resolved_under_monitoring,2
"Project Quantum",in_progress,1
"Project Quantum",reopened,1
"Project Quantum",open,1
"Project Quantum",approved,1
"Project Solaris",closed,2390
"Project Solaris",done,1338
"Project Solaris",open,41
"Project Solaris",in_progress,26
"Project Solaris",waiting,11
"Project Solaris",resolved,10
"Project Solaris",under_review,2
"Project Solaris",pending_deployment,2
"Project Solaris",resolved_under_monitoring,2
"Project Solaris",to_do,1
"Project Titan",closed,1529
"Project Titan",done,12
"Project Titan",in_progress,4
"Project Titan",open,3
"Project Titan",waiting,3
"Project Titan",pending_deployment,2
"Project Titan",validation,2
"Project Titan",resolved,2
"Project Titan",under_review,1
"Project Vega",closed,3318
"Project Vega",done,597
"Project Vega",waiting,8
"Project Vega",resolved,5
"Project Vega",in_progress,4
"Project Vega",open,2
"Project Vega",pending_deployment,2
"Project Zenith",closed,3116
"Project Zenith",done,270
"Project Zenith",waiting,6
"Project Zenith",pending_deployment,6
"Project Zenith",validation,3
"Project Zenith",resolved_under_monitoring,2
"Project Zenith",in_progress,1
